project,Kr_cm3_per_cm3_value,Kr_cm3_per_cm3_error,Xe_cm3_per_cm3_value,Xe_cm3_per_cm3_error,selectivity,PLD,LCD,density_g_cm3
f7_hwx_12_1x1x1,2.685094164,0.039391635,1.511761549,0.01162183,0.563019938,15.91041,18.60373,0.257566
f7_jus_363_1x1x1,8.848213512,0.10323284,12.02257964,0.205293928,1.358757858,11.08793,13.77348,0.594298
f1_ocu_5_1x1x1,26.39045895,0.299579578,65.87053613,0.705069006,2.495998127,2.43736,10.27442,1.14146
f7_tsx_257_1x1x1,25.63252946,0.819491182,71.27342518,0.998389831,2.780584932,3.78526,5.09243,0.959598
f1_ssa_64_1x1x1,12.02157143,0.899649353,65.33437783,0.935892052,5.434761852,1.53372,5.30814,1.56699
f1_umw_29_1x1x1,4.075413058,0.023149312,2.969933629,0.044910177,0.7287442,14.9388,15.03762,0.621664
f5_dag_123_1x1x1,7.557124054,0.259536386,12.07005897,0.335897736,1.597176239,11.83732,14.48838,0.480136
f2_wna_25_1x1x1,8.98394798,0.052575372,11.1454939,0.084826245,1.240600895,5.69275,12.30413,0.83966
f7_ubo_280_1x1x1,5.145452563,0.037092614,4.081024457,0.138873934,0.793132267,9.55647,11.96609,0.368693
f5_dag_12_1x1x1,5.762520232,0.061547488,6.965205793,0.190485773,1.208708258,14.80925,17.58915,0.299401
f7_pth_321_1x1x1,3.785832989,0.023531857,2.505002651,0.04507678,0.661678066,8.16372,10.13719,0.434882
f5_shp_84_1x1x1,7.699374365,0.058607072,8.170219981,0.096271319,1.06115375,11.4007,15.25488,0.384763
f4_pyre_1_1x1x1,7.456566724,0.092302681,11.83145057,0.350823233,1.586715577,10.04506,14.64932,0.521648
f6_snl_89_1x1x1,14.71044871,0.079621075,23.74591105,0.259563355,1.614220716,6.40207,8.1796,0.806554
f1_the_63_1x1x1,8.817039811,0.101163558,12.03788943,0.249822322,1.365298296,10.28128,15.51078,0.56343
f6_vbx_22_1x1x1,4.882933817,0.096348811,3.936913046,0.066973685,0.80625976,10.74036,16.00307,0.508674
f6_why_32_1x1x1,5.50509424,0.073758255,5.013919921,0.062980733,0.910778218,9.93158,11.92989,0.526768
f4_wja_15_1x1x1,4.310940924,0.075781456,3.507330977,0.041925523,0.813588272,16.61115,22.74797,0.282514
f7_ssc_117_1x1x1,18.99504732,0.193869343,34.74214296,0.469900839,1.829010603,5.39329,7.46141,0.558754
f6_vbl_55_1x1x1,7.933998513,0.060541357,8.484817354,0.126906896,1.069425125,8.03351,12.55675,0.729647
